//X Y Z C2M_signed_distances[<5] R G B
0.06431737 0.02488334 -0.06905484 0.000657 255 172 51
0.06274523 0.02278343 -0.06937496 0.000888 255 172 51
0.06528702 0.01735876 -0.06921367 0.000798 255 172 51
0.07036917 0.01446209 -0.06913678 0.000857 255 172 51
0.06375679 0.02728896 -0.06806070 -0.000072 255 172 51
0.06353959 0.02504594 -0.06899152 0.000602 255 172 51
0.06569570 0.03132792 -0.06755316 0.000287 255 172 51
0.07810266 0.02709366 -0.06788017 0.000136 255 172 51
0.07680860 0.02904916 -0.06735255 -0.000226 255 172 51
0.07612629 0.02926790 -0.06734093 -0.000236 255 172 51
0.07582628 0.03166074 -0.06725389 0.000151 255 172 51
0.07118189 0.03149088 -0.06738954 0.000167 255 172 51
0.07836866 0.02050009 -0.06874681 0.000798 255 172 51
0.06725944 0.01495780 -0.06916304 0.000815 255 172 51
0.07670585 0.01645047 -0.06902520 0.000934 255 172 51
0.07314139 0.01282426 -0.06910876 0.000901 255 172 51
0.06248084 0.02674110 -0.06835604 0.000130 255 172 51
0.06239542 0.02550909 -0.06886844 0.000479 255 172 51
0.06402883 0.02819650 -0.06781557 -0.000118 255 172 51
0.06370866 0.02932714 -0.06773599 0.000058 255 172 51
0.07893027 0.02836373 -0.06748918 -0.000054 255 172 51
0.07791141 0.02931009 -0.06729706 -0.000164 255 172 51
0.07657263 0.02984638 -0.06726604 -0.000177 255 172 51
0.07824665 0.02585246 -0.06817143 0.000361 255 172 51
0.07269019 0.03297648 -0.06729428 0.000312 255 172 51
0.06974287 0.03346527 -0.06733039 0.000323 255 172 51
0.08059848 0.02095045 -0.06853259 0.000778 255 172 51
0.06470581 0.01488791 -0.06917913 0.000779 255 172 51
0.07863476 0.01762802 -0.06892413 0.000955 255 172 51
0.07604484 0.01398019 -0.06907243 0.000945 255 172 51
0.07073829 0.01197151 -0.06914316 0.000898 255 172 51
0.06830769 0.01220229 -0.06916026 0.000871 255 172 51
0.06292006 0.02792728 -0.06794889 -0.000039 255 172 51
0.06762608 0.03290462 -0.06739919 0.000340 255 172 51
0.06290071 0.03116824 -0.06768133 0.000395 255 172 51
0.07966352 0.02742968 -0.06773642 0.000162 255 172 51
0.07953693 0.02616598 -0.06803072 0.000357 255 172 51
0.07485315 0.03486637 -0.06725281 0.000387 255 172 51
0.07758170 0.03044018 -0.06720934 -0.000049 255 172 51
0.08147988 0.02300206 -0.06828719 0.000666 255 172 51
0.08072352 0.01837859 -0.06874023 0.000943 255 172 51
0.06268402 0.01568568 -0.06922377 0.000766 255 172 51
0.06544263 0.01268886 -0.06917325 0.000815 255 172 51
0.07944368 0.01444278 -0.06905280 0.001106 255 172 51
